Date,Day_of_Season,Day_of_Week,Week_of_Season,Prebookings,Holiday,1998-1999_Demand,Exchange_Rate_USD_,Exchange_Rate_GBP_CAD,actual_demand
22-Nov,1,Mon,1,6,,9,0.6843,0.4223,16
23-Nov,2,Tue,1,7,,7,0.6827,0.4205,11
24-Nov,3,Wed,1,4,,5,0.6818,0.4221,9
25-Nov,4,Thu,1,12,,8,0.6817,0.4228,20
26-Nov,5,Fri,1,15,,12,0.682,0.4234,28
27-Nov,6,Sat,1,11,,16,0.6815,0.4248,16
28-Nov,7,Sun,1,3,,5,0.6813,0.4244,8
29-Nov,8,Mon,2,2,,3,0.6796,0.4239,4
30-Nov,9,Tue,2,3,,7,0.6787,0.4246,5
1-Dec,10,Wed,2,2,,4,0.6786,0.4243,4
2-Dec,11,Thu,2,1,,6,0.6761,0.4229,2
3-Dec,12,Fri,2,3,,9,0.676,0.4224,6
4-Dec,13,Sat,2,2,,8,0.6752,0.4219,8
5-Dec,14,Sun,2,5,,5,0.6761,0.4222,14
6-Dec,15,Mon,3,3,,4,0.6761,0.42,7
7-Dec,16,Tue,3,3,,7,0.6784,0.4179,8
8-Dec,17,Wed,3,4,,6,0.6767,0.4162,12
9-Dec,18,Thu,3,4,,4,0.6782,0.4175,12
10-Dec,19,Fri,3,4,,4,0.677,0.4172,9
11-Dec,20,Sat,3,7,,15,0.6773,0.4176,16
12-Dec,21,Sun,3,7,,17,0.6771,0.4176,10
13-Dec,22,Mon,4,4,,13,0.6765,0.4168,6
14-Dec,23,Tue,4,4,,10,0.6756,0.4183,6
15-Dec,24,Wed,4,7,,17,0.6742,0.4198,8
16-Dec,25,Thu,4,8,,19,0.6769,0.4195,10
17-Dec,26,Fri,4,7,,24,0.6771,0.4202,10
18-Dec,27,Sat,4,16,,29,0.6782,0.4226,21
19-Dec,28,Sun,4,25,,27,0.677,0.4217,31
20-Dec,29,Mon,5,34,,40,0.6761,0.4209,35
21-Dec,30,Tue,5,42,,63,0.676,0.4201,44
22-Dec,31,Wed,5,46,,68,0.6774,0.4207,50
23-Dec,32,Thu,5,41,,60,0.6782,0.4213,44
24-Dec,33,Fri,5,48,Christmas/New Year,45,0.6807,0.4209,50
25-Dec,34,Sat,5,31,Christmas/New Year,59,0.6817,0.4214,35
